,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,Birth_Year
0,0,3,male,22.0,1,0,S,1890.0
1,1,1,female,38.0,1,0,C,1874.0
2,1,3,female,26.0,0,0,S,1886.0
3,1,1,female,35.0,1,0,S,1877.0
4,0,3,male,35.0,0,0,S,1877.0
5,0,3,male,,0,0,Q,
6,0,1,male,54.0,0,0,S,1858.0
7,0,3,male,2.0,3,1,S,1910.0
8,1,3,female,27.0,0,2,S,1885.0
9,1,2,female,14.0,1,0,C,1898.0
10,1,3,female,4.0,1,1,S,1908.0
11,1,1,female,58.0,0,0,S,1854.0
12,0,3,male,20.0,0,0,S,1892.0
13,0,3,male,39.0,1,5,S,1873.0
14,0,3,female,14.0,0,0,S,1898.0
15,1,2,female,55.0,0,0,S,1857.0
16,0,3,male,2.0,4,1,Q,1910.0
17,1,2,male,,0,0,S,
18,0,3,female,31.0,1,0,S,1881.0
19,1,3,female,,0,0,C,
20,0,2,male,35.0,0,0,S,1877.0
21,1,2,male,34.0,0,0,S,1878.0
22,1,3,female,15.0,0,0,Q,1897.0
23,1,1,male,28.0,0,0,S,1884.0
24,0,3,female,8.0,3,1,S,1904.0
25,1,3,female,38.0,1,5,S,1874.0
26,0,3,male,,0,0,C,
27,0,1,male,19.0,3,2,S,1893.0
28,1,3,female,,0,0,Q,
29,0,3,male,,0,0,S,
30,0,1,male,40.0,0,0,C,1872.0
31,1,1,female,,1,0,C,
32,1,3,female,,0,0,Q,
33,0,2,male,66.0,0,0,S,1846.0
34,0,1,male,28.0,1,0,C,1884.0
35,0,1,male,42.0,1,0,S,1870.0
36,1,3,male,,0,0,C,
37,0,3,male,21.0,0,0,S,1891.0
38,0,3,female,18.0,2,0,S,1894.0
39,1,3,female,14.0,1,0,C,1898.0
40,0,3,female,40.0,1,0,S,1872.0
41,0,2,female,27.0,1,0,S,1885.0
42,0,3,male,,0,0,C,
43,1,2,female,3.0,1,2,C,1909.0
44,1,3,female,19.0,0,0,Q,1893.0
45,0,3,male,,0,0,S,
46,0,3,male,,1,0,Q,
47,1,3,female,,0,0,Q,
48,0,3,male,,2,0,C,
49,0,3,female,18.0,1,0,S,1894.0
50,0,3,male,7.0,4,1,S,1905.0
51,0,3,male,21.0,0,0,S,1891.0
52,1,1,female,49.0,1,0,C,1863.0
53,1,2,female,29.0,1,0,S,1883.0
54,0,1,male,65.0,0,1,C,1847.0
55,1,1,male,,0,0,S,
56,1,2,female,21.0,0,0,S,1891.0
57,0,3,male,28.5,0,0,C,1883.5
58,1,2,female,5.0,1,2,S,1907.0
59,0,3,male,11.0,5,2,S,1901.0
60,0,3,male,22.0,0,0,C,1890.0
61,1,1,female,38.0,0,0,,1874.0
62,0,1,male,45.0,1,0,S,1867.0
63,0,3,male,4.0,3,2,S,1908.0
64,0,1,male,,0,0,C,
65,1,3,male,,1,1,C,
66,1,2,female,29.0,0,0,S,1883.0
67,0,3,male,19.0,0,0,S,1893.0
68,1,3,female,17.0,4,2,S,1895.0
69,0,3,male,26.0,2,0,S,1886.0
70,0,2,male,32.0,0,0,S,1880.0
71,0,3,female,16.0,5,2,S,1896.0
72,0,2,male,21.0,0,0,S,1891.0
73,0,3,male,26.0,1,0,C,1886.0
74,1,3,male,32.0,0,0,S,1880.0
75,0,3,male,25.0,0,0,S,1887.0
76,0,3,male,,0,0,S,
77,0,3,male,,0,0,S,
78,1,2,male,0.83,0,2,S,1911.17
79,1,3,female,30.0,0,0,S,1882.0
80,0,3,male,22.0,0,0,S,1890.0
81,1,3,male,29.0,0,0,S,1883.0
82,1,3,female,,0,0,Q,
83,0,1,male,28.0,0,0,S,1884.0
84,1,2,female,17.0,0,0,S,1895.0
85,1,3,female,33.0,3,0,S,1879.0
86,0,3,male,16.0,1,3,S,1896.0
87,0,3,male,,0,0,S,
88,1,1,female,23.0,3,2,S,1889.0
89,0,3,male,24.0,0,0,S,1888.0
90,0,3,male,29.0,0,0,S,1883.0
91,0,3,male,20.0,0,0,S,1892.0
92,0,1,male,46.0,1,0,S,1866.0
93,0,3,male,26.0,1,2,S,1886.0
94,0,3,male,59.0,0,0,S,1853.0
95,0,3,male,,0,0,S,
96,0,1,male,71.0,0,0,C,1841.0
97,1,1,male,23.0,0,1,C,1889.0
98,1,2,female,34.0,0,1,S,1878.0
99,0,2,male,34.0,1,0,S,1878.0
100,0,3,female,28.0,0,0,S,1884.0
101,0,3,male,,0,0,S,
102,0,1,male,21.0,0,1,S,1891.0
103,0,3,male,33.0,0,0,S,1879.0
104,0,3,male,37.0,2,0,S,1875.0
105,0,3,male,28.0,0,0,S,1884.0
106,1,3,female,21.0,0,0,S,1891.0
107,1,3,male,,0,0,S,
108,0,3,male,38.0,0,0,S,1874.0
109,1,3,female,,1,0,Q,
110,0,1,male,47.0,0,0,S,1865.0
111,0,3,female,14.5,1,0,C,1897.5
112,0,3,male,22.0,0,0,S,1890.0
113,0,3,female,20.0,1,0,S,1892.0
114,0,3,female,17.0,0,0,C,1895.0
115,0,3,male,21.0,0,0,S,1891.0
116,0,3,male,70.5,0,0,Q,1841.5
117,0,2,male,29.0,1,0,S,1883.0
118,0,1,male,24.0,0,1,C,1888.0
119,0,3,female,2.0,4,2,S,1910.0
120,0,2,male,21.0,2,0,S,1891.0
121,0,3,male,,0,0,S,
122,0,2,male,32.5,1,0,C,1879.5
123,1,2,female,32.5,0,0,S,1879.5
124,0,1,male,54.0,0,1,S,1858.0
125,1,3,male,12.0,1,0,C,1900.0
126,0,3,male,,0,0,Q,
127,1,3,male,24.0,0,0,S,1888.0
128,1,3,female,,1,1,C,
129,0,3,male,45.0,0,0,S,1867.0
130,0,3,male,33.0,0,0,C,1879.0
131,0,3,male,20.0,0,0,S,1892.0
132,0,3,female,47.0,1,0,S,1865.0
133,1,2,female,29.0,1,0,S,1883.0
134,0,2,male,25.0,0,0,S,1887.0
135,0,2,male,23.0,0,0,C,1889.0
136,1,1,female,19.0,0,2,S,1893.0
137,0,1,male,37.0,1,0,S,1875.0
138,0,3,male,16.0,0,0,S,1896.0
139,0,1,male,24.0,0,0,C,1888.0
140,0,3,female,,0,2,C,
141,1,3,female,22.0,0,0,S,1890.0
142,1,3,female,24.0,1,0,S,1888.0
143,0,3,male,19.0,0,0,Q,1893.0
144,0,2,male,18.0,0,0,S,1894.0
145,0,2,male,19.0,1,1,S,1893.0
146,1,3,male,27.0,0,0,S,1885.0
147,0,3,female,9.0,2,2,S,1903.0
148,0,2,male,36.5,0,2,S,1875.5
149,0,2,male,42.0,0,0,S,1870.0
150,0,2,male,51.0,0,0,S,1861.0
151,1,1,female,22.0,1,0,S,1890.0
152,0,3,male,55.5,0,0,S,1856.5
153,0,3,male,40.5,0,2,S,1871.5
154,0,3,male,,0,0,S,
155,0,1,male,51.0,0,1,C,1861.0
156,1,3,female,16.0,0,0,Q,1896.0
157,0,3,male,30.0,0,0,S,1882.0
158,0,3,male,,0,0,S,
159,0,3,male,,8,2,S,
160,0,3,male,44.0,0,1,S,1868.0
161,1,2,female,40.0,0,0,S,1872.0
162,0,3,male,26.0,0,0,S,1886.0
163,0,3,male,17.0,0,0,S,1895.0
164,0,3,male,1.0,4,1,S,1911.0
165,1,3,male,9.0,0,2,S,1903.0
166,1,1,female,,0,1,S,
167,0,3,female,45.0,1,4,S,1867.0
168,0,1,male,,0,0,S,
169,0,3,male,28.0,0,0,S,1884.0
170,0,1,male,61.0,0,0,S,1851.0
171,0,3,male,4.0,4,1,Q,1908.0
172,1,3,female,1.0,1,1,S,1911.0
173,0,3,male,21.0,0,0,S,1891.0
174,0,1,male,56.0,0,0,C,1856.0
175,0,3,male,18.0,1,1,S,1894.0
176,0,3,male,,3,1,S,
177,0,1,female,50.0,0,0,C,1862.0
178,0,2,male,30.0,0,0,S,1882.0
179,0,3,male,36.0,0,0,S,1876.0
180,0,3,female,,8,2,S,
181,0,2,male,,0,0,C,
182,0,3,male,9.0,4,2,S,1903.0
183,1,2,male,1.0,2,1,S,1911.0
184,1,3,female,4.0,0,2,S,1908.0
185,0,1,male,,0,0,S,
186,1,3,female,,1,0,Q,
187,1,1,male,45.0,0,0,S,1867.0
188,0,3,male,40.0,1,1,Q,1872.0
189,0,3,male,36.0,0,0,S,1876.0
190,1,2,female,32.0,0,0,S,1880.0
191,0,2,male,19.0,0,0,S,1893.0
192,1,3,female,19.0,1,0,S,1893.0
193,1,2,male,3.0,1,1,S,1909.0
194,1,1,female,44.0,0,0,C,1868.0
195,1,1,female,58.0,0,0,C,1854.0
196,0,3,male,,0,0,Q,
197,0,3,male,42.0,0,1,S,1870.0
198,1,3,female,,0,0,Q,
199,0,2,female,24.0,0,0,S,1888.0
200,0,3,male,28.0,0,0,S,1884.0
201,0,3,male,,8,2,S,
202,0,3,male,34.0,0,0,S,1878.0
203,0,3,male,45.5,0,0,C,1866.5
204,1,3,male,18.0,0,0,S,1894.0
205,0,3,female,2.0,0,1,S,1910.0
206,0,3,male,32.0,1,0,S,1880.0
207,1,3,male,26.0,0,0,C,1886.0
208,1,3,female,16.0,0,0,Q,1896.0
209,1,1,male,40.0,0,0,C,1872.0
210,0,3,male,24.0,0,0,S,1888.0
211,1,2,female,35.0,0,0,S,1877.0
212,0,3,male,22.0,0,0,S,1890.0
213,0,2,male,30.0,0,0,S,1882.0
214,0,3,male,,1,0,Q,
215,1,1,female,31.0,1,0,C,1881.0
216,1,3,female,27.0,0,0,S,1885.0
217,0,2,male,42.0,1,0,S,1870.0
218,1,1,female,32.0,0,0,C,1880.0
219,0,2,male,30.0,0,0,S,1882.0
220,1,3,male,16.0,0,0,S,1896.0
221,0,2,male,27.0,0,0,S,1885.0
222,0,3,male,51.0,0,0,S,1861.0
223,0,3,male,,0,0,S,
224,1,1,male,38.0,1,0,S,1874.0
225,0,3,male,22.0,0,0,S,1890.0
226,1,2,male,19.0,0,0,S,1893.0
227,0,3,male,20.5,0,0,S,1891.5
228,0,2,male,18.0,0,0,S,1894.0
229,0,3,female,,3,1,S,
230,1,1,female,35.0,1,0,S,1877.0
231,0,3,male,29.0,0,0,S,1883.0
232,0,2,male,59.0,0,0,S,1853.0
233,1,3,female,5.0,4,2,S,1907.0
234,0,2,male,24.0,0,0,S,1888.0
235,0,3,female,,0,0,S,
236,0,2,male,44.0,1,0,S,1868.0
237,1,2,female,8.0,0,2,S,1904.0
238,0,2,male,19.0,0,0,S,1893.0
239,0,2,male,33.0,0,0,S,1879.0
240,0,3,female,,1,0,C,
241,1,3,female,,1,0,Q,
242,0,2,male,29.0,0,0,S,1883.0
243,0,3,male,22.0,0,0,S,1890.0
244,0,3,male,30.0,0,0,C,1882.0
245,0,1,male,44.0,2,0,Q,1868.0
246,0,3,female,25.0,0,0,S,1887.0
247,1,2,female,24.0,0,2,S,1888.0
248,1,1,male,37.0,1,1,S,1875.0
249,0,2,male,54.0,1,0,S,1858.0
250,0,3,male,,0,0,S,
251,0,3,female,29.0,1,1,S,1883.0
252,0,1,male,62.0,0,0,S,1850.0
253,0,3,male,30.0,1,0,S,1882.0
254,0,3,female,41.0,0,2,S,1871.0
255,1,3,female,29.0,0,2,C,1883.0
256,1,1,female,,0,0,C,
257,1,1,female,30.0,0,0,S,1882.0
258,1,1,female,35.0,0,0,C,1877.0
259,1,2,female,50.0,0,1,S,1862.0
260,0,3,male,,0,0,Q,
261,1,3,male,3.0,4,2,S,1909.0
262,0,1,male,52.0,1,1,S,1860.0
263,0,1,male,40.0,0,0,S,1872.0
264,0,3,female,,0,0,Q,
265,0,2,male,36.0,0,0,S,1876.0
266,0,3,male,16.0,4,1,S,1896.0
267,1,3,male,25.0,1,0,S,1887.0
268,1,1,female,58.0,0,1,S,1854.0
269,1,1,female,35.0,0,0,S,1877.0
270,0,1,male,,0,0,S,
271,1,3,male,25.0,0,0,S,1887.0
272,1,2,female,41.0,0,1,S,1871.0
273,0,1,male,37.0,0,1,C,1875.0
274,1,3,female,,0,0,Q,
275,1,1,female,63.0,1,0,S,1849.0
276,0,3,female,45.0,0,0,S,1867.0
277,0,2,male,,0,0,S,
278,0,3,male,7.0,4,1,Q,1905.0
279,1,3,female,35.0,1,1,S,1877.0
280,0,3,male,65.0,0,0,Q,1847.0
281,0,3,male,28.0,0,0,S,1884.0
282,0,3,male,16.0,0,0,S,1896.0
283,1,3,male,19.0,0,0,S,1893.0
284,0,1,male,,0,0,S,
285,0,3,male,33.0,0,0,C,1879.0
286,1,3,male,30.0,0,0,S,1882.0
287,0,3,male,22.0,0,0,S,1890.0
288,1,2,male,42.0,0,0,S,1870.0
289,1,3,female,22.0,0,0,Q,1890.0
290,1,1,female,26.0,0,0,S,1886.0
291,1,1,female,19.0,1,0,C,1893.0
292,0,2,male,36.0,0,0,C,1876.0
293,0,3,female,24.0,0,0,S,1888.0
294,0,3,male,24.0,0,0,S,1888.0
295,0,1,male,,0,0,C,
296,0,3,male,23.5,0,0,C,1888.5
297,0,1,female,2.0,1,2,S,1910.0
298,1,1,male,,0,0,S,
299,1,1,female,50.0,0,1,C,1862.0
300,1,3,female,,0,0,Q,
301,1,3,male,,2,0,Q,
302,0,3,male,19.0,0,0,S,1893.0
303,1,2,female,,0,0,Q,
304,0,3,male,,0,0,S,
305,1,1,male,0.92,1,2,S,1911.08
306,1,1,female,,0,0,C,
307,1,1,female,17.0,1,0,C,1895.0
308,0,2,male,30.0,1,0,C,1882.0
309,1,1,female,30.0,0,0,C,1882.0
310,1,1,female,24.0,0,0,C,1888.0
311,1,1,female,18.0,2,2,C,1894.0
312,0,2,female,26.0,1,1,S,1886.0
313,0,3,male,28.0,0,0,S,1884.0
314,0,2,male,43.0,1,1,S,1869.0
315,1,3,female,26.0,0,0,S,1886.0
316,1,2,female,24.0,1,0,S,1888.0
317,0,2,male,54.0,0,0,S,1858.0
318,1,1,female,31.0,0,2,S,1881.0
319,1,1,female,40.0,1,1,C,1872.0
320,0,3,male,22.0,0,0,S,1890.0
321,0,3,male,27.0,0,0,S,1885.0
322,1,2,female,30.0,0,0,Q,1882.0
323,1,2,female,22.0,1,1,S,1890.0
324,0,3,male,,8,2,S,
325,1,1,female,36.0,0,0,C,1876.0
326,0,3,male,61.0,0,0,S,1851.0
327,1,2,female,36.0,0,0,S,1876.0
328,1,3,female,31.0,1,1,S,1881.0
329,1,1,female,16.0,0,1,C,1896.0
330,1,3,female,,2,0,Q,
331,0,1,male,45.5,0,0,S,1866.5
332,0,1,male,38.0,0,1,S,1874.0
333,0,3,male,16.0,2,0,S,1896.0
334,1,1,female,,1,0,S,
335,0,3,male,,0,0,S,
336,0,1,male,29.0,1,0,S,1883.0
337,1,1,female,41.0,0,0,C,1871.0
338,1,3,male,45.0,0,0,S,1867.0
339,0,1,male,45.0,0,0,S,1867.0
340,1,2,male,2.0,1,1,S,1910.0
341,1,1,female,24.0,3,2,S,1888.0
342,0,2,male,28.0,0,0,S,1884.0
343,0,2,male,25.0,0,0,S,1887.0
344,0,2,male,36.0,0,0,S,1876.0
345,1,2,female,24.0,0,0,S,1888.0
346,1,2,female,40.0,0,0,S,1872.0
347,1,3,female,,1,0,S,
348,1,3,male,3.0,1,1,S,1909.0
349,0,3,male,42.0,0,0,S,1870.0
350,0,3,male,23.0,0,0,S,1889.0
351,0,1,male,,0,0,S,
352,0,3,male,15.0,1,1,C,1897.0
353,0,3,male,25.0,1,0,S,1887.0
354,0,3,male,,0,0,C,
355,0,3,male,28.0,0,0,S,1884.0
356,1,1,female,22.0,0,1,S,1890.0
357,0,2,female,38.0,0,0,S,1874.0
358,1,3,female,,0,0,Q,
359,1,3,female,,0,0,Q,
360,0,3,male,40.0,1,4,S,1872.0
361,0,2,male,29.0,1,0,C,1883.0
362,0,3,female,45.0,0,1,C,1867.0
363,0,3,male,35.0,0,0,S,1877.0
364,0,3,male,,1,0,Q,
365,0,3,male,30.0,0,0,S,1882.0
366,1,1,female,60.0,1,0,C,1852.0
367,1,3,female,,0,0,C,
368,1,3,female,,0,0,Q,
369,1,1,female,24.0,0,0,C,1888.0
370,1,1,male,25.0,1,0,C,1887.0
371,0,3,male,18.0,1,0,S,1894.0
372,0,3,male,19.0,0,0,S,1893.0
373,0,1,male,22.0,0,0,C,1890.0
374,0,3,female,3.0,3,1,S,1909.0
375,1,1,female,,1,0,C,
376,1,3,female,22.0,0,0,S,1890.0
377,0,1,male,27.0,0,2,C,1885.0
378,0,3,male,20.0,0,0,C,1892.0
379,0,3,male,19.0,0,0,S,1893.0
380,1,1,female,42.0,0,0,C,1870.0
381,1,3,female,1.0,0,2,C,1911.0
382,0,3,male,32.0,0,0,S,1880.0
383,1,1,female,35.0,1,0,S,1877.0
384,0,3,male,,0,0,S,
385,0,2,male,18.0,0,0,S,1894.0
386,0,3,male,1.0,5,2,S,1911.0
387,1,2,female,36.0,0,0,S,1876.0
388,0,3,male,,0,0,Q,
389,1,2,female,17.0,0,0,C,1895.0
390,1,1,male,36.0,1,2,S,1876.0
391,1,3,male,21.0,0,0,S,1891.0
392,0,3,male,28.0,2,0,S,1884.0
393,1,1,female,23.0,1,0,C,1889.0
394,1,3,female,24.0,0,2,S,1888.0
395,0,3,male,22.0,0,0,S,1890.0
396,0,3,female,31.0,0,0,S,1881.0
397,0,2,male,46.0,0,0,S,1866.0
398,0,2,male,23.0,0,0,S,1889.0
399,1,2,female,28.0,0,0,S,1884.0
400,1,3,male,39.0,0,0,S,1873.0
401,0,3,male,26.0,0,0,S,1886.0
402,0,3,female,21.0,1,0,S,1891.0
403,0,3,male,28.0,1,0,S,1884.0
404,0,3,female,20.0,0,0,S,1892.0
405,0,2,male,34.0,1,0,S,1878.0
406,0,3,male,51.0,0,0,S,1861.0
407,1,2,male,3.0,1,1,S,1909.0
408,0,3,male,21.0,0,0,S,1891.0
409,0,3,female,,3,1,S,
410,0,3,male,,0,0,S,
411,0,3,male,,0,0,Q,
412,1,1,female,33.0,1,0,Q,1879.0
413,0,2,male,,0,0,S,
414,1,3,male,44.0,0,0,S,1868.0
415,0,3,female,,0,0,S,
416,1,2,female,34.0,1,1,S,1878.0
417,1,2,female,18.0,0,2,S,1894.0
418,0,2,male,30.0,0,0,S,1882.0
419,0,3,female,10.0,0,2,S,1902.0
420,0,3,male,,0,0,C,
421,0,3,male,21.0,0,0,Q,1891.0
422,0,3,male,29.0,0,0,S,1883.0
423,0,3,female,28.0,1,1,S,1884.0
424,0,3,male,18.0,1,1,S,1894.0
425,0,3,male,,0,0,S,
426,1,2,female,28.0,1,0,S,1884.0
427,1,2,female,19.0,0,0,S,1893.0
428,0,3,male,,0,0,Q,
429,1,3,male,32.0,0,0,S,1880.0
430,1,1,male,28.0,0,0,S,1884.0
431,1,3,female,,1,0,S,
432,1,2,female,42.0,1,0,S,1870.0
433,0,3,male,17.0,0,0,S,1895.0
434,0,1,male,50.0,1,0,S,1862.0
435,1,1,female,14.0,1,2,S,1898.0
436,0,3,female,21.0,2,2,S,1891.0
437,1,2,female,24.0,2,3,S,1888.0
438,0,1,male,64.0,1,4,S,1848.0
439,0,2,male,31.0,0,0,S,1881.0
440,1,2,female,45.0,1,1,S,1867.0
441,0,3,male,20.0,0,0,S,1892.0
442,0,3,male,25.0,1,0,S,1887.0
443,1,2,female,28.0,0,0,S,1884.0
444,1,3,male,,0,0,S,
